PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Residential Apartment,3.0,5.0,4.0,21571.0,Semi-furnished,1-5,11.0,21.0,4010.0,8.65,Sector 65,single
S,Independent/Builder Floor,2.0,2.0,3.0,9347.0,Semi-furnished,1-5,1.0,3.0,1350.0,0.945,Sector 88B,single
S,Residential Apartment,3.0,3.0,4.0,8999.0,Semi-furnished,1-5,3.0,25.0,1685.0,1.52,Sector 99,single
S,Independent/Builder Floor,2.0,2.0,2.0,8641.0,Furnished,Under Construction,4.0,4.0,1701.0,1.47,Sector 63A,single
S,Residential Apartment,2.0,2.0,3.0,9372.0,Semi-furnished,Under Construction,15.0,35.0,1099.0,1.03,Sector 104,single
S,Independent/Builder Floor,3.0,3.0,3.0,8609.0,Furnished,Under Construction,4.0,4.0,2114.0,1.82,Sector 63A,single
S,Independent/Builder Floor,2.0,2.0,2.0,6365.0,Semi-furnished,Under Construction,3.0,4.0,1190.0,0.7975,Sector 92,single
S,Residential Apartment,2.0,2.0,2.0,5000.0,Unfurnished,Under Construction,5.0,15.0,640.0,0.32,Sector 90,single
S,Independent/Builder Floor,2.0,2.0,3.0,7783.0,Furnished,Under Construction,4.0,4.0,1585.0,0.8632,Sector 92,single
S,Residential Apartment,2.0,2.0,1.0,7731.958762886598,Semi-furnished,Under Construction,12.0,14.0,582.0,0.45,Sector 76,single
S,Independent/Builder Floor,3.0,2.0,3.0,9613.0,Furnished,Under Construction,2.0,4.0,1386.0,0.9325,Sector 92,single
S,Residential Apartment,2.0,2.0,2.0,5837.0,Semi-furnished,Under Construction,6.0,12.0,651.0,0.38,Sector 108,single
S,Independent/Builder Floor,3.0,3.0,3.0,23333.0,Semi-furnished,Under Construction,2.0,4.0,1500.0,3.5,Sector 63A,single
S,Residential Apartment,4.0,5.0,3.0,12857.0,Semi-furnished,1-5,9.0,13.0,3850.0,4.95,Sector 53,single
S,Residential Apartment,3.0,4.0,4.0,8620.0,Semi-furnished,1-5,7.0,18.0,2122.0,1.1,Sohna,single
S,Residential Apartment,2.0,2.0,1.0,15261.0,Semi-furnished,1-5,8.0,13.0,1245.0,1.9,Sector 53,single
S,Residential Apartment,3.0,5.0,3.0,16414.0,Semi-furnished,1-5,7.0,13.0,1980.0,3.25,Sector 53,single
S,Residential Apartment,3.0,4.0,3.0,12962.0,Semi-furnished,1-5,5.0,11.0,2974.0,3.5,Sector 59,single
S,Independent/Builder Floor,3.0,3.0,2.0,13677.0,Semi-furnished,0-1,3.0,4.0,2367.0,2.12,Sector 23,single
S,Independent/Builder Floor,3.0,3.0,2.0,13600.0,Semi-furnished,0-1,2.0,4.0,1836.0,1.7,Sector 23,single
S,Independent/Builder Floor,3.0,3.0,2.0,8618.0,Semi-furnished,1-5,2.0,4.0,2808.0,2.42,Palam Vihar,single
S,Residential Apartment,3.0,3.0,2.0,18190.0,Semi-furnished,1-5,12.0,14.0,1727.0,1.85,Sector 67A,single
S,Residential Apartment,2.0,2.0,3.0,16097.0,Semi-furnished,Under Construction,23.0,34.0,1261.0,1.65,Sector 65,single
S,Residential Apartment,4.0,6.0,3.0,18000.0,Semi-furnished,1-5,29.0,39.0,2850.0,4.5,Sector 60,single
S,Residential Apartment,4.0,4.0,4.0,17433.0,Semi-furnished,0-1,4.0,10.0,2868.0,5.0,Sector 54,single
S,Residential Apartment,3.0,3.0,3.0,7514.0,Semi-furnished,5-10,8.0,14.0,1943.0,1.46,Sector 107,single
S,Residential Apartment,4.0,4.0,3.0,18750.0,Semi-furnished,1-5,9.0,20.0,2800.0,5.25,DLF Phase 5,single
S,Residential Apartment,4.0,4.0,4.0,18750.0,Semi-furnished,1-5,14.0,20.0,2850.0,5.25,DLF Phase 5,single
