,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,AGE,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,total_facilities,furnishing_type
173,4.0,4.0,2.0,20000.0,1-5,2625.0,5.25,Sector 66,6,0
174,4.0,4.0,3.0,6255.0,1-5,2350.0,1.47,Sector 71,5,1
175,3.0,4.0,2.0,7171.0,1-5,1743.0,1.25,Sector 71,5,1
176,3.0,3.0,3.0,6790.0,1-5,1620.0,1.1,Sector 71,5,1
177,3.0,3.0,2.0,6734.0,1-5,1485.0,1.0,Sector 71,5,1
178,2.0,2.0,2.0,7000.0,1-5,1198.0,0.85,Sector 71,5,1
179,4.0,4.0,4.0,12538.0,1-5,2273.0,2.85,Sector 82A,4,1
180,3.0,3.0,3.0,16000.0,10+,2250.0,3.6,Sector 14,3,1
181,3.0,3.0,3.0,22222.222222222223,10+,2250.0,5.0,Sector 14,3,1
182,3.0,3.0,4.0,5950.0,1-5,1762.0,1.05,Sector 103,2,0
183,3.0,3.0,3.0,17389.96614342875,10+,3249.0,5.65,Sector 14,3,1
184,4.0,4.0,4.0,11380.0,1-5,3078.0,2.39,Sector 57,2,0
185,4.0,5.0,2.0,16384.0,1-5,3900.0,6.39,DLF Phase 4,1,0
186,3.0,3.0,2.0,10000.0,1-5,2400.0,1.9,Sector 48,5,0
187,3.0,3.0,2.0,12187.0,1-5,2367.0,1.95,Sector 57,3,1
188,3.0,3.0,2.0,14583.0,1-5,1836.0,1.75,Sushant Lok Phase 3,3,1
189,3.0,3.0,2.0,13916.0,1-5,1800.0,1.67,Sushant Lok Phase 3,3,0
190,3.0,3.0,4.0,12750.0,1-5,2700.0,2.55,Sushant Lok Phase 3,3,0
191,4.0,4.0,4.0,12228.0,1-5,2367.0,2.14,Sector 57,3,1
192,4.0,4.0,4.0,14095.0,1-5,2625.0,3.7,Sector 72,3,1
193,3.0,3.0,3.0,8188.0,Under Construction,2078.0,1.7,Sector 3,5,1
194,2.0,2.0,2.0,11039.0,0-1,1406.0,1.55,Sector 74,6,0
195,2.0,2.0,2.0,13200.0,0-1,1406.0,1.65,Sector 74,6,0
196,3.0,3.0,4.0,15357.0,1-5,1600.0,2.15,Sector 65,6,1
197,2.0,2.0,2.0,11735.0,0-1,1406.0,1.65,Sector 74,6,0
198,3.0,3.0,3.0,9444.0,Under Construction,1829.0,1.7,Sector 85,4,1
199,3.0,3.0,3.0,9041.0,Under Construction,1830.0,1.65,Sector 85,4,1
200,3.0,3.0,3.0,9150.0,Under Construction,2131.0,1.95,Sector 85,4,1
201,2.0,2.0,3.0,6155.0,0-1,1056.0,0.78,Sector 82,5,1
202,3.0,3.0,2.0,9487.0,Under Construction,1950.0,1.85,Sector 63A,4,1
203,3.0,3.0,2.0,9846.0,0-1,1950.0,1.92,Sector 63A,4,1
204,3.0,3.0,2.0,8604.0,0-1,2150.0,1.85,Sector 63A,6,1
205,4.0,4.0,2.0,8888.0,0-1,2700.0,2.4,Sector 50,3,1
206,4.0,4.0,2.0,9074.0,0-1,2700.0,2.45,Sector 49,3,1
207,4.0,4.0,2.0,8281.0,0-1,3200.0,2.65,Sector 50,3,1
208,4.0,4.0,2.0,12037.0,0-1,2700.0,3.25,Sector 50,3,1
209,4.0,4.0,2.0,13018.0,Under Construction,2650.0,3.45,Sector 50,3,0
210,3.0,3.0,2.0,10111.0,Under Construction,1800.0,1.82,Sector 48,5,1
211,3.0,3.0,2.0,10857.0,0-1,1750.0,1.9,Sector 50,3,1
212,3.0,3.0,2.0,9578.0,0-1,1900.0,1.82,Sector 45,2,1
213,3.0,3.0,2.0,9729.0,0-1,1850.0,1.8,Sector 63A,6,0
214,3.0,3.0,3.0,10888.0,5-10,1745.0,1.9,Sector 109,4,0
215,1.0,1.0,2.0,26000.0,0-1,630.0,1.638,Sector 54,3,0
216,2.0,2.0,4.0,30000.0,1-5,644.0,1.932,Sector-33 Sohna,2,0
217,1.0,1.0,1.0,6128.0,1-5,359.0,0.22,Sector-33 Sohna,0,0
218,2.0,2.0,4.0,30000.0,1-5,644.0,1.932,Sector-33 Sohna,2,1
219,2.0,2.0,2.0,7532.0,0-1,531.0,0.4,Sector 36 Sohna,0,0
220,1.0,1.0,1.0,6432.0,1-5,342.0,0.22,Sector-33 Sohna,0,0
221,2.0,2.0,2.0,6639.0,1-5,609.0,0.405,Sector-33 Sohna,0,0
222,2.0,2.0,4.0,25000.0,1-5,849.0,2.1225,Sector-2 Sohna,1,0
223,3.0,3.0,3.0,5920.0,5-10,1537.0,0.91,Sector 37C,1,0
224,3.0,3.0,2.0,18584.0,5-10,3363.0,6.25,Sector 65,5,0
225,3.0,3.0,4.0,16610.0,1-5,2588.0,4.3,Sector 62,5,0
226,3.0,5.0,4.0,19950.0,1-5,4010.0,8.0,Sector 65,4,0
227,3.0,3.0,4.0,19933.0,1-5,3888.0,7.75,Sector 65,5,0
228,4.0,4.0,3.0,10555.555555555557,0-1,2700.0,2.85,Sector 49,2,1
229,2.0,2.0,1.0,5405.0,1-5,925.0,0.5,Sector 37C,2,0
230,3.0,3.0,2.0,7692.0,10+,1950.0,1.5,Palam Vihar,2,1
231,3.0,3.0,2.0,8750.0,10+,2000.0,1.75,Palam Vihar,2,1
232,3.0,3.0,3.0,32000.0,1-5,1650.0,5.28,Sector 102,4,1
233,4.0,3.0,2.0,17708.0,0-1,4800.0,8.5,Sector 63A,6,1
234,3.0,3.0,4.0,7777.0,1-5,2250.0,1.75,Sector 102,5,1
235,3.0,4.0,1.0,9185.0,0-1,2025.0,1.86,Sector 102,4,0
236,3.0,4.0,4.0,7954.0,1-5,1760.0,1.4,Sector 106,6,0
237,3.0,3.0,4.0,11609.0,0-1,1852.0,2.15,Sector 102,4,1
238,3.0,3.0,3.0,10361.0,Under Construction,1689.0,1.75,Sector 104,5,1
239,2.0,2.0,3.0,8102.0,1-5,1481.0,1.2,Sector 103,4,1
240,4.0,4.0,4.0,11111.0,1-5,2160.0,2.4,Sector 57,3,1
241,4.0,3.0,3.0,15789.0,0-1,3800.0,6.0,Sector 63A,0,1
242,9.0,9.0,4.0,25054.466230936818,5-10,1836.0,4.6,Sector 46,2,1
243,3.0,3.0,3.0,17073.0,0-1,2588.0,4.42,Sector 62,5,0
244,3.0,2.0,4.0,10865.0,5-10,1629.0,1.77,Nirvana Country,5,0
245,2.0,2.0,3.0,11566.0,Under Construction,1366.0,1.58,Sector 106,5,1
246,3.0,3.0,2.0,12907.0,0-1,1410.0,1.82,Sector 48,5,1
247,3.0,3.0,2.0,8717.0,0-1,1950.0,1.7,Sector 70,3,1
248,3.0,3.0,2.0,7885.0,0-1,1550.0,1.22,Sector 70,3,1
249,3.0,3.0,2.0,8387.0,0-1,1550.0,1.3,Sector 88B,1,1
