PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,SUPERBUILTUP_SQFT,PRICE,SOCIETY_NAME,LOCALITY_WO_CITY,FEATURES_LIST,stories,nearby_facilities
S,Residential Apartment,4.0,4.0,3.0,10109.0,Semi-furnished,Under Construction,10.0,2913.0,2.94,Sobha City,Sector 108,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,2.0,15499.0,Semi-furnished,Under Construction,8.0,2343.0,2.34,Sobha City,Sector 108,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,3.0,15544.0,Semi-furnished,Under Construction,10.0,1745.0,2.71,Sobha City,Sector 108,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,3.0,7282.0,Semi-furnished,Under Construction,7.0,1900.0,1.38,Godrej Meridien,Sector 106,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,3.0,13500.0,Semi-furnished,Under Construction,7.0,2050.0,2.77,Godrej Meridien,Sector 106,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,4.0,4.0,9783.0,Semi-furnished,1-5,14.0,1942.0,1.9,Conscient Heritage Max,Sector 102,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,2.0,3.0,3.0,14965.0,Semi-furnished,1-5,10.0,1470.0,2.2,Ireo Skyon,Sector 60,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,4.0,3.0,15121.0,Semi-furnished,1-5,14.0,2050.0,3.1,Ireo Skyon,Sector 60,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,3.0,12941.0,Semi-furnished,5-10,18.0,1700.0,2.2,Pioneer Park,Sector 61,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Park', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,4.0,4.0,16580.0,Semi-furnished,10+,13.0,2895.0,4.8,Parsvnath Exotica,Sector 53,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Metro', 'School/College', 'Airport', 'Park']"
S,Residential Apartment,4.0,4.0,3.0,14316.0,Semi-furnished,5-10,1.0,2305.0,3.3,DLF Belvedere Towers,DLF Phase 2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",single,"['Bank/ATM', 'Metro', 'Hospital']"
S,Independent/Builder Floor,2.0,2.0,2.0,4922.83950617284,Semi-furnished,1-5,0.0,1620.0,0.7975,Vatika Independent Floors,Sector 82,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",single,"['School/College', 'Hospital']"
